x,y,z
1.147579631045410906e+03,1.393853716097573852e+02,5.161292046990280369e+02
-5.513062332537238944e+03,-5.751339025577931352e+02,-2.664626112167173233e+03
1.819293704036203962e+03,1.694388663962943724e+02,8.415853507289823483e+02
1.768850541804820296e+03,2.267205894043561898e+02,8.052397369703304548e+02
1.271475133324928947e+03,1.585821252353506452e+02,5.738616278336760388e+02
2.058986994187218443e+03,2.347701322211172226e+02,1.001235516023475839e+03
-5.386980686094173507e+03,-5.108716718719436471e+02,-2.556219557002782949e+03
1.124216284112246285e+03,1.310765199418171960e+02,5.019849002530737607e+02
1.247465868350424216e+03,1.235009099315576009e+02,5.998228819397132838e+02
1.609449567525687598e+03,2.090625381741533602e+02,7.679751806511053474e+02
2.709569764382868016e+03,2.493417170088971773e+02,1.254622882347784071e+03
2.910199056043482869e+03,2.674320219871786435e+02,1.360741101859936634e+03
1.991641657147004707e+03,2.646294253006417421e+02,9.359611181543198200e+02
1.371749243222158384e+03,1.813740602802260753e+02,6.325985118198320833e+02
1.629064957301936602e+03,2.173425244669046776e+02,7.632108600375227070e+02
1.413185883818406865e+03,1.807705825042371828e+02,6.390372130371764570e+02
1.557772519346156741e+03,1.470135916440203800e+02,7.065807397806514700e+02
9.189401914194870187e+03,1.224985777272031328e+03,4.245689716437495917e+03
1.409275767354836034e+03,1.485382138456074017e+02,6.270668377785183338e+02
1.086326930572685569e+03,1.447614552808764756e+02,5.149701025641636534e+02
1.493009643121054751e+03,1.747042562528798726e+02,6.637598650333708292e+02
1.261187578467333879e+03,1.510620689912517207e+02,6.157666920057580455e+02
1.681274744250210915e+03,2.068920494044209306e+02,8.191717466704794788e+02
1.826138046100503232e+02,2.007849781314017790e+01,8.933557214093099219e+01
2.949890733220342099e+03,3.943373102174066958e+02,1.353921404925738216e+03
-2.410572369249872645e+04,-2.253098622410368534e+03,-1.089485256676334029e+04
1.152150126951758239e+03,1.545195730680623853e+02,5.473152022825169070e+02
2.494993425949480297e+03,3.309365225464922560e+02,1.194061092915581867e+03
1.236795560275765638e+03,1.575099284035529763e+02,5.997796774423280795e+02
7.249327274781242522e+03,9.274514286513541492e+02,3.258938543433607265e+03
