,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type," Distance ("")",
, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string, float,
,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910060,,hlsp_qlp_tess_ffi_s0019-0000000311910060_tess_v01_llc,88.0610335585,32.5859944352,4,58815.59938297,1800,59181.05508,,123.686735832658,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910078,,hlsp_qlp_tess_ffi_s0019-0000000311910078_tess_v01_llc,88.0998496594,32.5825032709,4,58815.59938179,1800,59181.05508,,123.80901807742,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910441,,hlsp_qlp_tess_ffi_s0019-0000000311910441_tess_v01_llc,88.0853991618,32.5183028535,4,58815.59938323,1800,59181.05508,,123.82467518929,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910349,,hlsp_qlp_tess_ffi_s0019-0000000311910349_tess_v01_llc,88.0404310753,32.5339063787,4,58815.59938442,1800,59181.05508,,125.121155250315,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910443,,hlsp_qlp_tess_ffi_s0019-0000000311910443_tess_v01_llc,88.065393367,32.5180873182,4,58815.59938386,1800,59181.05508,,126.051527136534,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311992773,,hlsp_qlp_tess_ffi_s0019-0000000311992773_tess_v01_llc,88.1193664247,32.5510941386,4,58815.59938165,1800,59181.05508,,126.487472112139,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910436,,hlsp_qlp_tess_ffi_s0019-0000000311910436_tess_v01_llc,88.0920427658,32.5190660275,4,58815.599383,1800,59181.05508,,127.03439731519,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910180,,hlsp_qlp_tess_ffi_s0019-0000000311910180_tess_v01_llc,88.1182923484,32.5631847991,4,58815.5993815,1800,59181.05508,,128.198082201363,
,HLSP,QLP,Photometer,TESS,TESS,Optical,723273006,,hlsp_qlp_tess_ffi_s0019-0000000723273006_tess_v01_llc,88.1179505897,32.5641469972,4,58815.5993815,1800,59181.64557,,128.222051847355,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910175,,hlsp_qlp_tess_ffi_s0019-0000000311910175_tess_v01_llc,88.118028,32.564056,4,58815.59938149,1800,59181.05508,,128.345745729203,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311992787,,hlsp_qlp_tess_ffi_s0019-0000000311992787_tess_v01_llc,88.1203944189,32.5531431223,4,58815.59938158,1800,59181.05508,,129.463537786687,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910444,,hlsp_qlp_tess_ffi_s0019-0000000311910444_tess_v01_llc,88.0925258824,32.5179865157,4,58815.599383,1800,59181.05508,,131.188102496382,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311992805,,hlsp_qlp_tess_ffi_s0019-0000000311992805_tess_v01_llc,88.120871998,32.5580347454,4,58815.59938149,1800,59181.05508,,132.051033703103,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910037,,hlsp_qlp_tess_ffi_s0019-0000000311910037_tess_v01_llc,88.0712464755,32.5906359354,4,58815.59938258,1800,59181.05508,,132.519007978223,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910456,,hlsp_qlp_tess_ffi_s0019-0000000311910456_tess_v01_llc,88.0873949939,32.5157853664,4,58815.5993832,1800,59181.05508,,134.041379305565,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910038,,hlsp_qlp_tess_ffi_s0019-0000000311910038_tess_v01_llc,88.0873862211,32.5902195873,4,58815.59938207,1800,59181.05508,,134.118671612924,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910313,,hlsp_qlp_tess_ffi_s0019-0000000311910313_tess_v01_llc,88.0330133391,32.5413531943,4,58815.59938454,1800,59181.05508,,134.306911732768,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910055,,hlsp_qlp_tess_ffi_s0019-0000000311910055_tess_v01_llc,88.0546132262,32.58689914,4,58815.59938316,1800,59181.05508,,134.945500762348,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910158,,hlsp_qlp_tess_ffi_s0019-0000000311910158_tess_v01_llc,88.0336118608,32.5671052488,4,58815.59938413,1800,59181.05508,,135.534753646619,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910259,,hlsp_qlp_tess_ffi_s0019-0000000311910259_tess_v01_llc,88.0305245143,32.5502222878,4,58815.59938448,1800,59181.05508,,135.695343550594,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311992724,,hlsp_qlp_tess_ffi_s0019-0000000311992724_tess_v01_llc,88.1203981635,32.5405283165,4,58815.59938178,1800,59181.05508,,136.765650977329,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910391,,hlsp_qlp_tess_ffi_s0019-0000000311910391_tess_v01_llc,88.0421400448,32.5266063058,4,58815.59938447,1800,59181.05508,,136.935920961831,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910063,,hlsp_qlp_tess_ffi_s0019-0000000311910063_tess_v01_llc,88.049327797,32.585377128,4,58815.59938335,1800,59181.05508,,138.717189661947,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910463,,hlsp_qlp_tess_ffi_s0019-0000000311910463_tess_v01_llc,88.0656348939,32.5143244938,4,58815.59938391,1800,59181.05508,,139.02090774221,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311992777,,hlsp_qlp_tess_ffi_s0019-0000000311992777_tess_v01_llc,88.124174543,32.5516408238,4,58815.59938149,1800,59181.05508,,140.992397484838,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910358,,hlsp_qlp_tess_ffi_s0019-0000000311910358_tess_v01_llc,88.0351779579,32.5325849582,4,58815.5993846,1800,59181.05508,,141.202430979476,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910474,,hlsp_qlp_tess_ffi_s0019-0000000311910474_tess_v01_llc,88.0752619575,32.5122024105,4,58815.59938364,1800,59181.05508,,142.913058636916,
