designation,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,bp_rp,bp_g,g_rp,l,b,distance
Gaia DR2 3451191459985758336,87.8630034127294,0.069257808931212,32.5013502759038,0.061815752370544,0.818054966063425,0.069080168169541,11.84211,1.278488,0.5668201,0.711668,177.589282214069,2.91100324676131,11.2331274504456
Gaia DR2 3450988561433329920,88.2127117707314,0.257198768988765,32.4051600137248,0.243852291799725,0.873226917397052,0.284365039694646,3.070796,1.515778,0.7134514,0.8023262,177.82228174984,3.11641597179051,11.2360056393331
Gaia DR2 3451197880958788224,87.9012181892776,0.040748200221864,32.6682511925832,0.03931366294424,1.40723811248532,0.047921161324525,29.36569,0.7455235,0.2965918,0.4489317,177.461806864049,3.02363678680213,11.2362633049692
Gaia DR2 3451219046557944832,88.0053499330704,0.161431398125843,32.7305088608836,0.149767286814269,1.44668073785452,0.186398599924679,7.761221,2.17494,1.127447,1.047493,177.452699146132,3.13074455474529,11.2404210703719
Gaia DR2 3451192383400134144,87.8551108265284,0.188513906279066,32.5360321044127,0.166380288236474,0.450198528796705,0.207668701946632,2.167869,1.18532,0.4580917,0.7272282,177.555998434738,2.92292713915022,11.2406236563523
Gaia DR2 3451191455687100800,87.8649592496521,0.165828852133412,32.4955139683918,0.148734661621686,0.312529662383432,0.146916438346099,2.127261,1.116867,0.4608974,0.6559696,177.59515318618,2.9094527353258,11.2408336527656
Gaia DR2 3451174829872819968,88.0465106020089,0.327813150297539,32.3673499669035,0.307796235868582,0.694784273797334,0.34694115883096,2.0026,1.340223,0.5494347,0.7907887,177.783663138587,2.97627164099483,11.2409889354889
Gaia DR2 3451177922249279360,87.9939016040134,0.047422244619187,32.3790597795709,0.042799899516509,0.93691732491942,0.046315988193426,20.22881,1.16144,0.4989328,0.6625071,177.750967724122,2.94394176888974,11.2411931132723
Gaia DR2 3451012342664597120,88.2754763710507,0.688073430092891,32.4697080324915,0.648060838986563,0.890782975698194,0.797295140875567,1.117256,1.71501,0.8752289,0.8397808,177.793372498134,3.19476939027842,11.242214111596
Gaia DR2 3451197782177503232,87.8924314232056,0.081408679917644,32.6582960273393,0.077039904078852,0.551688058345671,0.092183270348861,5.984687,1.31492,0.5853176,0.7296028,177.466622835356,3.01220461347958,11.2437240025335
Gaia DR2 3451203279736020096,88.2866474210064,0.694699224273875,32.6142782574576,0.666039384337443,0.154037641791779,0.851121911327197,0.1809819,1.716393,0.8308105,0.885582,177.673221174268,3.27600287002369,11.245553955569
Gaia DR2 3451203657691372800,88.2769587879754,15.0990868323283,32.6341606701083,13.3029956179737,NaN,NaN,NaN,1.568567,0.04733276,1.521235,177.651906821514,3.27901606304239,11.2456812131921
Gaia DR2 3451203588973663360,88.2811607047342,0.102967359343111,32.6263610469948,0.085967168249545,0.590437466461824,0.110627290841614,5.337177,1.261831,0.550499,0.7113323,177.660439175785,3.27812516651722,11.2466263970595
Gaia DR2 3451203206716077312,88.2944141876875,0.063405871817662,32.5904337787577,0.054249319265942,0.343361386950571,0.070664024094154,4.859069,1.161599,0.4981556,0.6634436,177.697140689546,3.26959264089551,11.2480951005768
Gaia DR2 3451179056118604032,87.925869677889,1.29108481244618,32.4150684114204,1.12913818224181,0.535027701588467,1.17717774890782,0.4545003,2.064882,0.8592854,1.205597,177.69068131633,2.91277498707427,11.2497137130761
Gaia DR2 3451207776562495616,88.2015463333845,0.561932728471566,32.7081014982268,0.435093882490722,2.67846818523285,0.626495108781589,4.275322,2.604603,1.240599,1.364004,177.555854047517,3.26166783277701,11.2506524957648
Gaia DR2 3451200634033923328,88.2975907882397,3.24070729832724,32.5326940877037,2.84041923035861,NaN,NaN,NaN,1.816395,0.4038982,1.412497,177.7483939496,3.24271108328779,11.2517564430846
Gaia DR2 3451219252716424832,88.0866307723219,0.167525927320696,32.7403239162029,0.159478512267794,-0.102925486617445,0.194363324648736,-0.529552,1.087528,0.3609104,0.7266178,177.478971941531,3.19464169711133,11.2518199441524
Gaia DR2 3450988183474108288,88.1970484229146,1.23524026107613,32.3954438176783,1.12874199709152,1.1660429422729,0.929991618758673,1.253821,1.288671,0.1168461,1.171825,177.823965543226,3.10009184402893,11.2527911041514
Gaia DR2 3451200634036190720,88.2963594523856,0.0664512910694,32.5246088251353,0.063440926021637,0.364465228280155,0.081557748588643,4.4688,1.21075,0.5270061,0.6837435,177.754855161827,3.23772757331874,11.2534702144927
Gaia DR2 3451206681350113024,88.2567314519879,0.191702141743224,32.6630907521652,0.156458151444908,0.521919653416963,0.235218371815398,2.218873,1.165604,0.4458656,0.719738,177.618280780382,3.27895416659323,11.2550250592551
Gaia DR2 3451175139110460288,88.073132233147,0.194324294044187,32.3654194881099,0.176224892174915,0.654986725899413,0.163149632137423,4.014638,1.564442,0.4795895,1.084852,177.796756541935,2.99466630347364,11.2554765286587
Gaia DR2 3451197777879626624,87.8866310001967,0.147647777730865,32.6511303353296,0.143562650951208,0.948954085327861,0.182498101118546,5.199802,1.749807,0.8355503,0.914257,177.470313293011,3.00435511265858,11.2569902662529
Gaia DR2 3451207948369524352,88.1794369761627,11.4943543264423,32.7193675883242,5.89232561612375,NaN,NaN,NaN,NaN,NaN,NaN,177.536689596539,3.25132940866455,11.2577091088967
Gaia DR2 3451012239588588160,88.264422364087,0.201340625042725,32.4526328120341,0.201468181355526,0.426960705345562,0.252859450480074,1.68853,1.303719,0.5978298,0.7058887,177.803399543443,3.1780863806962,11.2579198154959
Gaia DR2 3451200427875484288,88.2892317627912,1.16287881386632,32.4980227610571,1.06516962042352,1.45054295608418,1.01031619179403,1.435732,1.22296,0.1015091,1.12145,177.774784704126,3.21909909842355,11.2588243424522
Gaia DR2 3450988703167823872,88.2311568496881,0.10256999179478,32.4181343508921,0.095956847150668,0.835530890311238,0.114588248746386,7.291593,1.352806,0.6034622,0.7493439,177.818971122388,3.13641305079849,11.2599259261134
Gaia DR2 3451012342667798400,88.273252042107,0.032905759445187,32.4653505787814,0.030871326557792,0.198146774294842,0.037459407604219,5.28964,1.643121,0.778656,0.8644648,177.796186585252,3.19094646936224,11.2614060813673
Gaia DR2 3451200049920655616,88.2850377103824,0.075583149423116,32.4874731603445,0.073004389044311,0.08433840983994,0.093273433955336,0.9042061,0.9969559,0.4138279,0.583128,177.782108651804,3.21071240843892,11.2617473101247
Gaia DR2 3451198435012463616,87.9457577672605,0.27501159174809,32.7050445531463,0.25951329782638,-0.331230538787794,0.303160069494352,-1.092593,1.201313,0.5204315,0.6808815,177.449161636957,3.07462220359888,11.2623226161517
Gaia DR2 3451178227194278272,87.9472969711184,0.417993178593349,32.4000966111066,0.399141617665513,-0.021989065539891,0.473106667491188,-0.04647803,1.340307,0.5507469,0.7895603,177.712800061457,2.92073965578851,11.2643055340506
Gaia DR2 3451175139110462080,88.0662440253963,0.087817797870441,32.3654419904041,0.08230844504855,0.2177179184795,0.101860138634716,2.13742,1.166515,0.4355793,0.7309361,177.793780637866,2.98966437466611,11.2647134188742
Gaia DR2 3451206887504769536,88.2493694102746,0.685024370806397,32.6714911707978,0.414148215496617,-0.144180694943334,0.787122039357693,-0.1831745,1.86969,0.8312778,1.038412,177.607882404543,3.27785711308499,11.2667100920482
Gaia DR2 3451221898422145152,87.9975258636761,6.53238092067278,32.7286225983083,4.09325985337741,NaN,NaN,NaN,1.374214,0.1661797,1.208035,177.450979791044,3.12411647497344,11.2669953465424
Gaia DR2 3451198331933264512,87.9325559423814,0.061418243475422,32.6964416858147,0.060640784994223,0.345490047798542,0.075796189872993,4.558146,1.432519,0.6485977,0.7839212,177.450926870785,3.06068230959938,11.2671386625376
Gaia DR2 3451192383405694720,87.8545573743259,0.842567798459216,32.5360180755499,0.725132339355617,NaN,NaN,NaN,NaN,NaN,NaN,177.555772720054,2.92251837494308,11.2685786608241
Gaia DR2 3451219703690365696,88.1633398113543,0.187742367638904,32.7259585344127,0.167677217239492,0.550020592109791,0.210401788041948,2.614144,1.345619,0.5693245,0.7762947,177.524127969764,3.24298964833932,11.2686535158093
Gaia DR2 3451174997371350912,88.0280205785534,0.328860445675819,32.3696405998505,0.309721732247367,0.434507269325448,0.347167345203697,1.251579,1.310762,0.5404263,0.7703362,177.773747479324,2.96398001269508,11.2707497200216
Gaia DR2 3451200874552348672,88.2992793490818,2.29876903966328,32.5503295550683,1.81095590512993,1.24757844036073,2.63178957098567,0.4740419,0.7550716,-0.4417496,1.196821,177.733874618452,3.25285512636343,11.2710945854463
